Name,Calories,Protein,Carbs,Fat
Bagel Cinnamon Raisin,291,10,61.2,1
Bagel Everything,301,11,57.2,4
Bagel Plain,281,10,58.2,1
Bagel Very Berry,291,11,60.2,1.5
Bagel Wheat Bran And Oats,281,11,59.2,1.5
Assorted Scones,431,5,56.2,21.1
Light Cream Cheese Cup,22,3.3,1.6,0.2
Almond Milk Vanilla,80,1,13,2.5
Milk 2% Half Pint (8oz),120,8,12,5
Milk Chocolate Half Pint (8oz),0,0,0,0
Milk Skim Half Pint (8oz),80,8,12,0
Milk Whole Half Pint (8oz),150,8,12,8
Minute Maid Apple Juice,157,0,40.1,0
Minute Maid Orange Juice,157,2.9,38.5,0
Soy Milk Chocolate,170,8,25,4.5
Soy Milk Vanilla Carton,150,8,18,4.5
Bacon,45,2.5,0.3,4
Biscuit Sausage Gravy,79,2.1,5.4,5.2
Buttermilk Biscuits,201,3,23.1,11.1
Buttermilk Pancakes,187,4.7,34.5,3.7
Cheese Grits,94,4.2,10.4,4.2
Chicken Sausage Patties,90,9,0,6
Grits,50,1.1,11.1,0.2
Hard Cooked Eggs,80,6,1,5
Oatmeal,62,2.1,11.1,1.2
Pork Link Sausage,123,3.3,0.3,12
Scrambled Eggs,155,10.7,0,11.3
Scrambled Eggs With Cheese,222,15.6,0.3,16.2
Tater Tots,280,2.7,24.3,19.9
Veggie Sausage Patty,157,20.1,6.7,6.7
Apples Granny Smith,75,0.5,21.1,0
Apples. Honeycrisp,177,0.9,47,0.6
Applesauce Cup,0,0,0,0
Bananas,121,1.5,31.1,0.4
Fresh Mixed Berries,49,1.1,12.2,0.2
Mixed Berry Yogurt Cup,130,5,25,1.5
Oranges,66,1.3,16.5,0.2
Cereal Cheerios,0,0,0,0
Cereal Cheerios Honey Nut,0,0,0,0
Cereal Cinnamon Toast Crunch,0,0,0,0
Cereal Cocoa Puffs,0,0,0,0
Cereal Frosted Flakes,0,0,0,0
Cereal Lucky Charms,0,0,0,0
Almond Milk Vanilla,80,1,13,2.5
Dasani Water 16.9oz Bottle,0,0,0,0
Milk 2% Half Pint (8oz),120,8,12,5
Milk Chocolate Half Pint (8oz),0,0,0,0
Milk Skim Half Pint (8oz),80,8,12,0
Milk Whole Half Pint (8oz),150,8,12,8
Minute Maid Apple Juice,157,0,40.1,0
Minute Maid Orange Juice,157,2.9,38.5,0
Soda Coca - Cola 12oz Bottle,0,0,0,0
Soda Diet Coca - Cola 12oz Bottle,0,0,0,0
Soda Sprite 12oz Bottle,0,0,0,0
Soy Milk Chocolate,170,8,25,4.5
Soy Milk Vanilla Carton,150,8,18,4.5
Buffalo Chicken Wrap,624,25.4,68.9,29.5
Caesar Salad,223,19.6,3.7,14.2
Ham & Swiss On Honey Wheat,322,28.4,30.5,9.3
House Salad With  Chickpeas Carrots & Corn,123,5.4,23.5,1.7
Hummus Sandwich On Whole Wheat,324,15,38.6,14
Peanut Butter & Jelly On Honey Wheat,590,17.3,73.3,28.4
Pimento Cheese Sandwich On Whole Wheat Bread,528,20,29.3,38.4
Turkey & Cheddar On Honey Wheat Bread,321,31.2,28,9
Apples Granny Smith,75,0.5,21.1,0
Apples. Honeycrisp,177,0.9,47,0.6
Applesauce Cup,0,0,0,0
Bananas,121,1.5,31.1,0.4
Cereal Cheerios,0,0,0,0
Cereal Cheerios Honey Nut,0,0,0,0
Cereal Cinnamon Toast Crunch,0,0,0,0
Cereal Cocoa Puffs,0,0,0,0
Cereal Frosted Flakes,0,0,0,0
Cereal Lucky Charms,0,0,0,0
Mix Fruit Cup In Juice,70,0.5,15.1,0
Mixed Berry Yogurt Cup,130,5,25,1.5
Ms. Vickie's Bbq Potato Chips,199,3,22.9,11
Ms. Vickie's Jalapeno Potato Chips,199,3,21.9,11
Ms. Vickie's Original Salted Potato Chips,209,3,22.9,12
Ms. Vickie's Salt & Vinegar Potato Chips,199,3,22.9,11
Oranges,66,1.3,16.5,0.2
Chocolate Chip Cookie,160,2,23,8
Good Humor King Cone,476,0,95.3,0
Klondike Bar,0,0,0,0
Oreo Ice Cream Cookie Sandwich,0,0,0,0
Rice Krispy Treats,136,0.7,24.9,3.8
Bacon,45,2.5,0.3,4
Biscuit Sausage Gravy,79,2.1,5.4,5.2
Buttermilk Biscuits,201,3,23.1,11.1
Cheese Grits,94,4.2,10.4,4.2
Grits,50,1.1,11.1,0.2
Oatmeal,62,2.1,11.1,1.2
Scrambled Eggs,155,10.7,0,11.3
Scrambled Eggs With Cheese,222,15.6,0.3,16.2
Veggie Sausage Patty,78,10.1,3.4,3.4
Bagel Cinnamon Raisin,291,10,61.2,1
Bagel Plain,281,10,58.2,1
Light Cream Cheese Cup,22,3.3,1.6,0.2
Chocolate Chip Cookie,160,2,23,8
Rice Krispy Treats,136,0.7,24.9,3.8
Sweet Duchess Rolls,120,4,21,2
Whole Wheat Chocolate & Pumpkin Bar,330,3.7,46.5,16.7
Jamaican Jerk Turkey,104,16.8,2.8,2.4
Sauteed Tilapia W White Beans & Mushrooms,235,24.6,6.8,11.8
Fresh Italian Green Beans,56,1.2,5.9,3.4
Mexican Quinoa,89,3.6,14.5,1.6
Almond Milk Vanilla,80,1,13,2.5
Dasani Water 16.9oz Bottle,0,0,0,0
Milk 2% Half Pint (8oz),120,8,12,5
Milk Chocolate Half Pint (8oz),0,0,0,0
Milk Skim Half Pint (8oz),80,8,12,0
Milk Whole Half Pint (8oz),150,8,12,8
Minute Maid Apple Juice,157,0,40.1,0
Minute Maid Orange Juice,157,2.9,38.5,0
Soda Coca - Cola 12oz Bottle,0,0,0,0
Soda Diet Coca - Cola 12oz Bottle,0,0,0,0
