Name,Calories,Protein,Carbs,Fat
Chocolate Chip Cookie,320,4,46,16
Rice Krispy Treats,136,0.7,24.9,3.8
Almond Milk Vanilla,80,1,13,2.5
Dasani Water 16.9oz Bottle,0,0,0,0
Milk 2% Half Pint (8oz),120,8,12,5
Milk Chocolate Half Pint (8oz),0,0,0,0
Milk Skim Half Pint (8oz),80,8,12,0
Milk Whole Half Pint (8oz),150,8,12,8
Minute Maid Apple Juice,157,0,40.1,0
Minute Maid Orange Juice,157,2.9,38.5,0
Soda Coca - Cola 12oz Bottle,0,0,0,0
Soda Diet Coca - Cola 12oz Bottle,0,0,0,0
Soda Sprite 12oz Bottle,0,0,0,0
Soy Milk Chocolate,170,8,25,4.5
Soy Milk Vanilla Carton,150,8,18,4.5
Apples Granny Smith,75,0.5,21.1,0
Apples. Honeycrisp,177,0.9,47,0.6
Applesauce Cup,0,0,0,0
Bananas,121,1.5,31.1,0.4
Mix Fruit Cup In Juice,70,0.5,15.1,0
Oranges,66,1.3,16.5,0.2
Good Humor King Cone,476,0,95.3,0
Klondike Bar,0,0,0,0
Oreo Ice Cream Cookie Sandwich,0,0,0,0
Cheese Pizza,515,31.7,54.2,19.5
Pepperoni Pizza,629,35.5,54.2,28.6
Caesar Salad,223,19.6,3.7,14.2
House Salad With  Chickpeas Carrots & Corn,123,5.4,23.5,1.7
Buffalo Chicken Wrap,624,25.4,68.9,29.5
Ham & Swiss On Honey Wheat,322,28.4,30.5,9.3
Hummus Sandwich On Whole Wheat,324,15,38.6,14
Peanut Butter & Jelly On Honey Wheat,590,17.3,73.3,28.4
Pimento Cheese Sandwich On Whole Wheat Bread,528,20,29.3,38.4
Turkey & Cheddar On Honey Wheat Bread,321,31.2,28,9
Cereal Cheerios,0,0,0,0
Cereal Cheerios Honey Nut,0,0,0,0
Cereal Cinnamon Toast Crunch,0,0,0,0
Cereal Cocoa Puffs,0,0,0,0
Cereal Frosted Flakes,0,0,0,0
Cereal Lucky Charms,0,0,0,0
Mixed Berry Yogurt Cup,130,5,25,1.5
Ms. Vickie's Bbq Potato Chips,199,3,22.9,11
Ms. Vickie's Jalapeno Potato Chips,199,3,21.9,11
Ms. Vickie's Original Salted Potato Chips,209,3,22.9,12
Ms. Vickie's Salt & Vinegar Potato Chips,199,3,22.9,11
Chocolate Chip Cookie,320,4,46,16
Rice Krispy Treats,136,0.7,24.9,3.8
Almond Milk Vanilla,80,1,13,2.5
Dasani Water 16.9oz Bottle,0,0,0,0
Milk 2% Half Pint (8oz),120,8,12,5
Milk Chocolate Half Pint (8oz),0,0,0,0
Milk Skim Half Pint (8oz),80,8,12,0
Milk Whole Half Pint (8oz),150,8,12,8
Minute Maid Apple Juice,157,0,40.1,0
Minute Maid Orange Juice,157,2.9,38.5,0
Soda Coca - Cola 12oz Bottle,0,0,0,0
Soda Diet Coca - Cola 12oz Bottle,0,0,0,0
Soda Sprite 12oz Bottle,0,0,0,0
Soy Milk Chocolate,170,8,25,4.5
Soy Milk Vanilla Carton,150,8,18,4.5
Apples Granny Smith,75,0.5,21.1,0
Apples. Honeycrisp,177,0.9,47,0.6
Applesauce Cup,0,0,0,0
Bananas,121,1.5,31.1,0.4
Mix Fruit Cup In Juice,70,0.5,15.1,0
Oranges,66,1.3,16.5,0.2
Good Humor King Cone,476,0,95.3,0
Klondike Bar,0,0,0,0
Oreo Ice Cream Cookie Sandwich,0,0,0,0
